disaster_id,storm_name_clean,year,month,decade,era,region,location,intensity_category,deaths,affected,affected_millions,displaced,damage_usd,damage_billions
2023-0464-PHL,Tropical cyclone 'Doksuri' (Egay),2023,7.0,2020s,Post-2010,Luzon,"Luzon Isl., Region 3, 1 (Ilocos), 6, 2 (Cagayan), 12, 5, 11 and 10, CAR, Mimaropa, NCR, Calabarzon, BARMM",Catastrophic,39,5385237,5.385237,0,284256000.0,0.284256
2023-0568-PHL,Typhoon 'Saola',2023,8.0,2020s,Post-2010,Unspecified,,Severe,4,900003,0.900003,0,33000000.0,0.033
2023-0623-PHL,Typhoon 'Koinu',2023,10.0,2020s,Post-2010,Luzon,"Luzon, Batanes and the Babuyan Islands",Minor,0,275,0.000275,0,0.0,0.0
2023-0842-PHL,Tropical storm 'Jelawat' (Kabayan),2023,12.0,2020s,Post-2010,Mindanao,"Davao, Northern Mindanao, Caraga, Mimaropa, Western Visayas and Eastern Visayas)",Moderate,1,425867,0.425867,0,42000.0,4.2e-05
2024-0337-PHL,Tropical cyclone 'Ewiniar' (Aghon),2024,5.0,2020s,Post-2010,Visayas,"Cagayan Valley, Central Luzon, Calabarzon, Mimaropa, Bicol, and Eastern and Central Visayas.",Moderate,6,52008,0.052008,0,20000000.0,0.02
2024-0522-PHL,Typhoon 'Gaemi' (Carina) and 'Butchoy' (Prapiroon),2024,7.0,2020s,Post-2010,Luzon,"Metro Manilla, Batangas, Cavite, Pampanga and Bulacan provinces; Regions NCR, I, II, III, CALABARZON, MIMAROPA, V, VI, VII, X, and CAR",Catastrophic,53,6498934,6.498934,0,211000000.0,0.211
2024-0654-PHL,Typhoon 'Yagi' (Enteng),2024,9.0,2020s,Post-2010,Visayas,"Luzon Isl., Isabela province, Visayas",Catastrophic,33,3000022,3.000022,0,33000000.0,0.033
2024-0666-PHL,Typhoon 'Bebinca',2024,9.0,2020s,Post-2010,Unspecified,,Moderate,12,203011,0.203011,0,0.0,0.0
2024-0695-PHL,Tropical depression 'Soulik',2024,9.0,2020s,Post-2010,Unspecified,,Moderate,38,95013,0.095013,0,0.0,0.0
2024-0711-PHL,Tropical cyclone 'Krathon' (Julian),2024,9.0,2020s,Post-2010,Luzon,Northern Luzon island,Moderate,4,219008,0.219008,0,11000000.0,0.011
2024-0777-PHL,Tropical cyclone 'Trami' (Kristine),2024,10.0,2020s,Post-2010,Mindanao,"Luzon, Visayas and northern Mindanao, Camarines Sur, Camarines Norte, Albay, Masbate (Region 5 (Bicol), and Batangas, Laguna, Cavite, and Quezon in Region 4A (Calabarzon)",Catastrophic,191,9652739,9.652739,0,373000000.0,0.373
2024-0801-PHL,Typhoon 'Kong-Rey' (Leon),2024,10.0,2020s,Post-2010,Unspecified,,Minor,0,0,0.0,0,0.0,0.0
2024-0825-PHL,Typhoon 'Yinxing' (Marce),2024,11.0,2020s,Post-2010,Luzon,Northern Luzon,Moderate,1,375001,0.375001,0,10000000.0,0.01
2024-0829-PHL,Typhoon 'Toraji' (Nika),2024,11.0,2020s,Post-2010,Luzon,"Aurora, Isabela provinces",Moderate,0,310002,0.310002,0,10000000.0,0.01
2024-0855-PHL,Typhoon 'Man-yi' (Pepito),2024,11.0,2020s,Post-2010,Luzon,"Cagayan, Ilocos, Central Luzon, Calabarzon, Bicol",Catastrophic,15,3967014,3.967014,0,100000000.0,0.1
