era,years,total_storms,cat5_storms,mindanao_storms,avg_intensity_per_storm,total_intensity,avg_max_wind_kt,storms_per_year,cat5_per_year,mindanao_per_year,intensity_per_year
1980-2009,30,668,42,155,0.8062012063912609,391.6216,67.75150602409639,22.266666666666666,1.4,5.166666666666667,13.054053333333334
2010-2024,15,301,33,65,0.8399247821364796,184.315,67.47157190635451,20.066666666666666,2.2,4.333333333333333,12.287666666666667
