disaster_id,storm_name,year,month,day,location,deaths,affected,displaced,damage_usd_thousands,damage_usd_adj_thousands,decade,damage_usd,damage_usd_adj,damage_billions,storm_name_clean
2004-0609-PHL,Winnie,2004,11.0,29.0,"Real, Infanta, General Nakar areas (Quezon district, Region IV-A (Calabarzon) province), Isabela district (Region II (Cagayan Valley) province), Bulacan, Nueva Ecija, Aurora districts (Region III (Central Luzon) province), Rizal district (Region IV-A (Calabarzon) province), Camarines Sur district (Region V (Bicol region) province)",1619,881023,0,78200.0,129871.0,2000s,78200000.0,129871000.0,0.0782,Winnie
2004-0618-PHL,Nanmadol (Yoyong/30W),2004,11.0,30.0,Region V (Bicol region) province,8,70488,0,34000.0,56466.0,2000s,34000000.0,56466000.0,0.034,Nanmadol (Yoyong/30W)
2005-0120-PHL,Roke (Auring/02W),2005,3.0,15.0,Leyte district (Region VIII (Eastern Visayas) province),18,11,0,,,2000s,0.0,,0.0,Roke (Auring/02W)
2005-0540-PHL,Damrey,2005,9.0,15.0,"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region) provinces",16,20000,0,2000.0,3213.0,2000s,2000000.0,3213000.0,0.002,Damrey
2006-0251-PHL,Chanchu (Caloy),2006,5.0,11.0,"Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",41,42000,0,3328.0,5179.0,2000s,3328000.0,5179000.0,0.003328,Chanchu (Caloy)
2006-0362-PHL,Bilis,2006,7.0,11.0,"Cordillera Administrative region (CAR), Region I (Ilocos region), Region II (Cagayan Valley) provinces",37,51680,0,3000.0,4668.0,2000s,3000000.0,4668000.0,0.003,Bilis
2006-0388-PHL,Kaemi,2006,7.0,24.0,Region III (Central Luzon) province,4,200355,0,471.0,733.0,2000s,471000.0,733000.0,0.000471,Kaemi
2006-0410-PHL,Typhoon 'Prapiroon' (Henry/T0606),2006,8.0,2.0,Quirino district (Region II (Cagayan Valley) province),6,15000,0,135000.0,210068.0,2000s,135000000.0,210068000.0,0.135,Typhoon 'Prapiroon' (Henry/T0606)
2006-0415-PHL,Henry,2006,6.0,30.0,"Tarlac, Zambales, Nueva Ecija districts (Region III (Central Luzon) provinces)",8,476027,0,645.0,1004.0,2000s,645000.0,1004000.0,0.000645,Henry
2006-0517-PHL,Xangsane (Milenyo),2006,9.0,27.0,"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region), Region VI (Western Visayas) provinces",228,3842406,0,113000.0,175835.0,2000s,113000000.0,175835000.0,0.113,Xangsane (Milenyo)
2006-0600-PHL,Cimaron (Paeng),2006,10.0,30.0,"Cagayan, Quirino, Isabela, Nueva Vizcaya districts (Region II (Cagayan Valley) province), Benguet, Kalinga districts (Cordillera Administrative region (CAR) province), Aurora district (Region III (Central Luzon) province), La Union district (Region I (Ilocos region) province)",34,283021,0,9077.0,14124.0,2000s,9077000.0,14124000.0,0.009077,Cimaron (Paeng)
2006-0610-PHL,Queenie (Chebi),2006,11.0,13.0,"Isabela district (Region II (Cagayan Valley) province), Aurora, Nueva Ecija districts (Region III (Central Luzon) province)",6,21260,0,,,2000s,0.0,,0.0,Queenie (Chebi)
2006-0648-PHL,Durian (Reming),2006,11.0,30.0,"Albay, Catanduanes, Camarines Norte, Camarines Sur, Sorsogon districts (Region V (Bicol region) province), Mindoro Occidental, Mindoro Oriental, Marinduque districts (Region IV (Southern Tagalog) province), Batangas, Laguna districts (Region IV-A (Calabarzon) province)",1399,2562517,0,66400.0,103322.0,2000s,66400000.0,103322000.0,0.0664,Durian (Reming)
2006-0667-PHL,Utor (Seniang),2006,12.0,11.0,"Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",42,327542,0,,,2000s,0.0,,0.0,Utor (Seniang)
2007-0346-PHL,Chedeng and Dodong,2007,8.0,8.0,"National Capital region (NCR), Region III (Central Luzon) provinces",7,921462,0,492.0,744.0,2000s,492000.0,744000.0,0.000492,Chedeng and Dodong
